Sample Name	Protocol REF	Date	Performer	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#3_tears_extract-27	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-27_run-0	27	FIA	Agilent QTOF	positive	acquired-data-27_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#0_tears_extract-28	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-28_run-0	28	FIA	Agilent QTOF	positive	acquired-data-28_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#1_tears_extract-29	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-29_run-0	29	FIA	Agilent QTOF	positive	acquired-data-29_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#2_tears_extract-30	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-30_run-0	30	FIA	Agilent QTOF	positive	acquired-data-30_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#3_tears_extract-31	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-31_run-0	31	FIA	Agilent QTOF	positive	acquired-data-31_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#0_tears_extract-32	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-32_run-0	32	FIA	Agilent QTOF	positive	acquired-data-32_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#1_tears_extract-33	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-33_run-0	33	FIA	Agilent QTOF	positive	acquired-data-33_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#2_tears_extract-34	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-34_run-0	34	FIA	Agilent QTOF	positive	acquired-data-34_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#3_tears_extract-35	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-35_run-0	35	FIA	Agilent QTOF	positive	acquired-data-35_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#0_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#0_tears_extract-36	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-36_run-0	36	FIA	Agilent QTOF	positive	acquired-data-36_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#1_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#1_tears_extract-37	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-37_run-0	37	FIA	Agilent QTOF	positive	acquired-data-37_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#2_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#2_tears_extract-38	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-38_run-0	38	FIA	Agilent QTOF	positive	acquired-data-38_platform-FIA_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#3_tears	metabolite extraction	2019-08-29	Erin	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#3_tears_extract-39	FIA-positive mass spectrometry	2019-08-29	Bob	assay-name-39_run-0	39	FIA	Agilent QTOF	positive	acquired-data-39_platform-FIA_positive_run-0.mzml.gz
