Sample Name	Protocol REF	Date	Performer	Parameter Value[chromatography instrument]	Parameter Value[chromatography column]	Parameter Value[elution program]	Extract Name	Protocol REF	Date	Performer	MS Assay Name	Parameter Value[randomized run order]	Parameter Value[injection mode]	Parameter Value[instrument]	Parameter Value[scan polarity]	Raw Spectral Data File
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#3_sample#3_tears_extract-15	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-15_run-0	15	GC	Agilent QTOF	positive	acquired-data-15_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#0_tears_extract-16	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-16_run-0	16	GC	Agilent QTOF	positive	acquired-data-16_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#1_tears_extract-17	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-17_run-0	17	GC	Agilent QTOF	positive	acquired-data-17_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#2_tears_extract-18	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-18_run-0	18	GC	Agilent QTOF	positive	acquired-data-18_platform-GC_positive_run-0.mzml.gz
studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_49a02258-ccf9-4937-a63d-4a957fb323d9_subject#4_sample#3_tears_extract-19	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-19_run-0	19	GC	Agilent QTOF	positive	acquired-data-19_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#0_tears_extract-20	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-20_run-0	20	GC	Agilent QTOF	positive	acquired-data-20_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#1_tears_extract-21	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-21_run-0	21	GC	Agilent QTOF	positive	acquired-data-21_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#2_tears_extract-22	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-22_run-0	22	GC	Agilent QTOF	positive	acquired-data-22_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#0_sample#3_tears_extract-23	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-23_run-0	23	GC	Agilent QTOF	positive	acquired-data-23_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#0_tears_extract-24	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-24_run-0	24	GC	Agilent QTOF	positive	acquired-data-24_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#1_tears_extract-25	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-25_run-0	25	GC	Agilent QTOF	positive	acquired-data-25_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#2_tears_extract-26	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-26_run-0	26	GC	Agilent QTOF	positive	acquired-data-26_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#1_sample#3_tears_extract-27	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-27_run-0	27	GC	Agilent QTOF	positive	acquired-data-27_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#0_tears_extract-28	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-28_run-0	28	GC	Agilent QTOF	positive	acquired-data-28_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#1_tears_extract-29	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-29_run-0	29	GC	Agilent QTOF	positive	acquired-data-29_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#2_tears_extract-30	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-30_run-0	30	GC	Agilent QTOF	positive	acquired-data-30_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#2_sample#3_tears_extract-31	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-31_run-0	31	GC	Agilent QTOF	positive	acquired-data-31_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#0_tears_extract-32	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-32_run-0	32	GC	Agilent QTOF	positive	acquired-data-32_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#1_tears_extract-33	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-33_run-0	33	GC	Agilent QTOF	positive	acquired-data-33_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#2_tears_extract-34	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-34_run-0	34	GC	Agilent QTOF	positive	acquired-data-34_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#3_sample#3_tears_extract-35	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-35_run-0	35	GC	Agilent QTOF	positive	acquired-data-35_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#0_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#0_tears_extract-36	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-36_run-0	36	GC	Agilent QTOF	positive	acquired-data-36_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#1_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#1_tears_extract-37	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-37_run-0	37	GC	Agilent QTOF	positive	acquired-data-37_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#2_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#2_tears_extract-38	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-38_run-0	38	GC	Agilent QTOF	positive	acquired-data-38_platform-GC_positive_run-0.mzml.gz
studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#3_tears	metabolite extraction	2019-08-29	Dan	Agilent Q12324A	AB Hydroxyapatite	Acetonitrile 90%, water 10% for 30 min, flow rate: 1ml/min	studygroup_94b3e599-b5fa-4b72-97a8-d51c6a94cd7b_subject#4_sample#3_tears_extract-39	GC-positive mass spectrometry	2019-08-29	Carol	assay-name-39_run-0	39	GC	Agilent QTOF	positive	acquired-data-39_platform-GC_positive_run-0.mzml.gz
